emotion,file_name,text,word_count
Anger,ANG_001_IG_processed.txt,speed 1 2 3 itu sama aja omobis dah tes langsung tunggu rius berikutnya monten sampai habis karena sekarang kami akan tes perbedaan litran speed 1 2 dan 3 ada suatu spbu nah di spbu itu selalu gunnya ini nozzlenya ada tiga settingan kecepatan biasanya hmm apakah masing masing kecepatan itu litrannya beda beda kita tes sekarang tapi dengan baik matt dari badan metrologi ayo matt ini kita lagi tes apa nih pak ini kita lagi melaksanakan terra pompat ukur bbm jadi kita mengukur berapa liter yang luar betul betul ini bejana berapa liter pak ini kita menggunakan bejana 20 liter 20 liter kenapa gak pakai satu liter aja pak jadi begini dari spek dari pompat apa ditaris dispenser sendiri itu ada namanya mmq minimum measurement quantity jadi kita menggunakan bejana yang bisa menuhi mmk tersebut kita tidak boleh mengukur kurang dari nilai tersebut betul betul betul karena semakin kecil jumlah pengukuran masih semakin besar biasanya duh segala ya oke kita mulai sekarang speed 1 matt tolong deset 20 liter start and speed 1 ya ini akan lama sekali kalau ditungguin baikin kalau kita ngisi bensin isu saja 50 liter pake speed 1 nggak selesai selesai diantri orang lima rain orang tuh lambat banget ya 30 sip dah tangkat tangkat tangkat ya kelas 0 0 nah ini kita udah input 20 liter lagi sekarang kita speed 2 speed 2 itu di yang kita ngga ya nitrate yang kedua oke dari dekat dalannya ini 1 2 ya naik 2 lebih cepat daripada speed 1 kita bisa kita bisa kita bisa kita bisa 처 ing 30 iya 10 nah ini hasilnya di speed 2 posisinya 10 ya jadi peristis 20 liter yang keluar dari nosell itu untuk speed 2 karena speed 3 sekarang kita coba speed 3 kita semakin sekarang kita coba speed 3 udah belum belum di set 2 liter gas wall speed 3 cepet kalau ini antrian fbu itu makin pendek atau mungkin ga ngantri kalo kemurahan speed 3 kali speed 3 kapasilnya 0 nah mudah mudahan mengertiasan ini bisa mengadukasi kita bahwa speed 1 2 3 pada nosed last review itu keluarnya sama terima kasih pak ikmat sama sama terima kasih pak pri,364
Anger,ANG_002_IG_processed.txt,vw idbal itu ada jendela bisa dibuka tapi di geser dan di gesernya bukan perekannicle tapi elektrik bukanya ditetkan bukan tarik,21
Anger,ANG_003_IG_processed.txt,engga ngga janji gue ga akan bahas mu beneran kan dari awal gue udah bilang kalo mu itu adalah pertandingan yang ga penting apa lagi di liga inggris salah sendiri kalian fans mu masih pada nonton kecuali kalian hatersnya mu mereka masih punya kewajiban job des untuk bikin konten nge bui mu gapapa silahkan aja kita udah ridok kita udah ikhlas kita ga akan balas tapi yang ga ikhlas itu adalah fans ya real madrid wih pertandingan penting tadi al klasiko tapi ya udah melepaskan peluang laliga musim kali ini kepada barcelona tapi yang lebih ga ikhlas kayanya victor munos punya peluang bagus di depan gawang udah face to face sama sydney padahal kalo dia pasing ke hendrik kalo ga salah itu kesempatan guernya bisa lebih banyak lebih besar dan bakal lebih seru lagi padahal mbak pildonnya tak tiga gol john tiga gol hendrik nah kalo menurut kalian ke pemimpinan wasit di pertandingan al klasiko satu sampai sepuluh berapa nilanya bakalan seru nih kalo kita ngomongin wasit nih pertama ada kontroversinya cua meni terus kontroversinya gol terakhirnya barcelona yang dianulir golnya karena tercipta handsball sebelum terjadi gol langsung kalo mau komentar kita debat di situ masalah penampilan wasit al klasiko kali ini sikacon,203
Anger,ANG_004_IG_processed.txt,kamu hati kamu hati kamu hati kembali lagi ada di semola minabangsa radu lageda sokret pes 2005 ini salah satu bentuk dari grace road pembina nusia dini yang dicari di sini bukan menangkala tapi gimana caranya mereka bisa menikmati bermensi pak bola dengan baik dengan benar dan dengan sesuatu yang menyenangkat itu itinya dari grace road植 hospital yaa seru banget tentuannya kumpulin dengan keras ketika terjadi pelanggarat dan akhirnya anaknya itu nans dan itu jadi sebuah presiden yang buruk dari orang tua dan kejadian itu terhadap orang orang yang melihat apalagi terutama anak anak yang masih mungkin daya serapnya mereka itu masih kaya mereka masih kaya mereka masih kaya mereka masih kaya mungkin daya serapnya mereka itu masih kaya kak bapak gue jadi marah marah aduh kak jadi wasis jadi berantem sama orang tua gue kok antara orang tua jadi berantem itu yang harus digitar kan tidak boleh ada kekerasan dalam latangan setahulah yang takutnya jadi terawma juga betul,159
Anger,ANG_005_IG_processed.txt,dapat ya iya tapi kan ini semua dia dapat maksudnya ya kalau begitu sextopel juga mudah lu kok mudah gila kalo ya bahsiii kasiupolian tim kau tuh pernah keseribi loh iya minah ini tuh 2011 2012 ya ini yang dia keseribi tau berapa oke emang milah ga dipetumpuhin ya tapi ga sampe keseribi terpuruk dalam waktu yang lama tapi cuma ada satu tim yang terpuruknya ga lama dia bisa kembali kembali itu cuma real madrid setuju ga itu betul kata ok ya saya tidak ada masalah dengan penerbangan saya ada masalah hari ini saya juga tidak ada masalah dengan personal dia saya masalah dengan jersey dia ampir ga lulus 16 pistol champion lu dia nah kita bicara hasil di ujung kok ini bicara konsisten ya ga konsisten udah lulus sampe akhir ga bisa hasil di ujung dibel winner itu sulit ini yang travel ga pernah ada yang unbeaten semuanya kalah ya pernah ada kalah nah gimana lalu disulit unbeaten,159
Anger,ANG_006_IG_processed.txt,belanda kan tuh sendiri kan total football kan melawan australia kita keteteran kita terlalu menyerah terlalu berani akhirnya nah yang menarik bang karena pemanggilan lili pali lili pali sebesar apa pengaruhnya kira kira saya rasa lili pali yang harus utakan kan bermain sabar sih kita tuh sangat tidak sabar ketika lawan cina pertama berarti dengan kata lain mes harus duduk dulu di bangkutan kan masalahnya ya kita butuh poin ini soalnya tapi satu sisi kita juga butuh pertahanan yang kuat kalau saya ya justru ini bagus juga buat beckham di jepang tapi kita harus menang besok tapi kalau harus dipilih siapa yang dipilih untuk jadi cadangannya verdon verdon saya pertama arahan arahan dibandingkan sayain pati nama,116
Anger,ANG_007_IG_processed.txt,yang namanya mobil bekas pasti ada aja kurangnya tapi kalau ketemu toyota yaris yang kayak gini kira kira patutnya dikasih harga berapa cing ini mobil udah kita periksa dari bekas tabrak dimana itu sebenernya aman di depannya aman udah gitu betul lahan lahan las lasannya aman belakang juga gak ada indikasi bekas tabrak pun bekas banjir juga gak karena gak ditemukan karat karat yang mebekas gitu ya di bagian interiornya tapi lihat kondisi exteriornya huh berantakan kelihatannya cape banget dengan damper yang udah bilang udah gak ori lampunya juga udah huni makin kuat lagi awra capenya karena banjir satu akiles tiga hankuk udah gitu tiga tiganya botak lagi nih benangnya aja sampai kegiatan masuk interior kayanya sih mau dibikin tema mewah dengan ritrim putih putih di jok sama door trimnya terus lagi di dashboardnya pcac udah patah tapi yang paling parah ini sih biar apa ini yang sepeke gini nih kita cobain tipis tipis dan untuk 165 000 km mesinnya terbilang oke lah idlenya bagus gak ada getar getar kita cek juga gak ada rembes udah gitu asingnya dingin cuma jadi cetetan satu ketika setirannya ditekuk mobilnya gak balik so gimana pantasnya dikasih harga berapa nih mobil dari pada bingung untuk nawarnya nawarnya mending panggil aja timur inspeksi di harga 150 000 rupiah kalian bisa dapetin laporan inspeksi meniluruh plus konsultasi gratis sama inspektornya biar tahu kira kira harus ditawar berapa sih mobilnya jadi langsung aja kontak timur inspeksi oke sub indo by broth3rmax,244
Anger,ANG_008_IG_processed.txt,paling sebal deh sama orang lawan arus ada halasnya dulu bagus bagus saya langsung lagi ngelawan ha minggir langsung semua,20
Anger,ANG_016_IG_processed.txt,kayaknya tau ga sih kalo 1 piring telur orang hari ini tuh udah mengaduk sekitar 25 gram protein dan biaya ban bakunya cuman sekitar 5 ribu rupi aja bikinnya gampang rasanya enak yuk langsung kita bikin aja let s go pertama ancurin 100 gram putih telur kalau mau pake yang mentah juga gapapa oke banget kok yang kedua campurin 100 gram tau putih dan ancurin juga yang ketiga lain satu putir telur dan aduk saram rata kalau udah masukin adonan ke panci yang udah dikasih minya dikit dan udah panas pake api kecil atau sedeng aja terserah lanjut diaduk sampai kira kira setengah mateng ya habis tuh biar lebih enak ambain bumbu kayak sambel terasi kecap dikit daun bawang sama garam terus aduk lagi sampe merata kalau udah mateng tuang dipiring dan jadi deh telur orang hari tambah tau dan putih telur kayak gini nih woohoo gimana gampang banget kan bikinnya ini rasanya juga enak banget loh untuk banget buat kalian yang lagi pengen diet karena ini tuh satu piring udah menghanur 25 gram putih in cuman sekitar 200 kalori dan kalau kalian makan segini tuh udah kenyang masih buat tambahan law kalian tuh juga bisa tinggal tambah nasi sama ya tambahin sayur dikit gitu lah gimana tentarnya nggak buat remake telur orang hari yang gampang banget nih bikinnya kalau ya coba komen di bawah ya share video ini kalau bernama faat cloud semangat dan stay hard,237
Anger,ANG_017_IG_processed.txt,sedikit tips buat kalian yang suka jalan kaki paki atau jogging di jalan pendisahannya yang gak terlalu lebar kayak gini nih usahain kalian jalannya tuh di sebelah kanan ya atau berlawanan dari kendaraan bermotor jadi kalian bisa lihat tuh di depan kalian ada mobil atau motor atau apa yang lewat jadi kalian tinggal minggir ke sebelah sini nih ini contohnya nih aku minggir nih set nahh itu maksudnya tapi kalo misalnya kan di sebelah kiri kalian gak tau di belakang kalian ada apa dan kalian harus nengok nengok terus ke belakang itu gak enak tapi tetap sebetulnya tips terbaik itu adalah kalian cari lapangan atau jogging trek yang lebih proper buat jalan kaki atau jogging tapi kalo gak bisa hangat gak ada dan bisa di jalan pendisahannya kayak gini yaudah jalan di kanan ya semoga beram fat woohoo,138
